Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1961","1961","kg/ha","1869.3","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1962","1962","kg/ha","1895.8","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1963","1963","kg/ha","2056.7","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1964","1964","kg/ha","2102.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1965","1965","kg/ha","2035.3","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1966","1966","kg/ha","2078.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1967","1967","kg/ha","2174.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1968","1968","kg/ha","2232.8","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1969","1969","kg/ha","2254","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1970","1970","kg/ha","2380.8","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1971","1971","kg/ha","2361.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1972","1972","kg/ha","2324.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1973","1973","kg/ha","2452.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1974","1974","kg/ha","2425.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1975","1975","kg/ha","2518.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1976","1976","kg/ha","2450.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1977","1977","kg/ha","2571.8","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1978","1978","kg/ha","2684.3","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1979","1979","kg/ha","2659.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1980","1980","kg/ha","2748.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1981","1981","kg/ha","2827.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1982","1982","kg/ha","2980.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1983","1983","kg/ha","3136.7","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1984","1984","kg/ha","3226.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1985","1985","kg/ha","3257","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1986","1986","kg/ha","3244.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1987","1987","kg/ha","3265.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1988","1988","kg/ha","3329.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1989","1989","kg/ha","3454.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1990","1990","kg/ha","3528.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1991","1991","kg/ha","3537","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1992","1992","kg/ha","3588","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1993","1993","kg/ha","3616","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1994","1994","kg/ha","3661.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1995","1995","kg/ha","3660.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1996","1996","kg/ha","3785.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1997","1997","kg/ha","3818.7","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1998","1998","kg/ha","3817.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","1999","1999","kg/ha","3899.3","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2000","2000","kg/ha","3890.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2001","2001","kg/ha","3951.8","A","Official figure",""
